amplitude,duration,energy,rms,rise_time,counts,label
5.16E-05,0.001577,37.84331055,1.55E-05,0.0002489,12,0
4.38E-05,0.0010687,23.70014648,1.49E-05,0.0004792,5,0
3.28E-05,1.00E-07,3.083569336,0.000555295,1.00E-07,0,0
7.03E-05,0.0030741,66.43986816,1.47E-05,0.0007246,26,0
3.28E-05,1.00E-07,3.036816406,0.000551076,1.00E-07,0,0
3.44E-05,2.00E-07,3.200708008,0.000400046,1.00E-07,0,0
3.59E-05,0.0005239,14.69858398,1.68E-05,0.0002895,2,0
0.000109375,0.0033136,228.0029541,2.62E-05,0.0007042,60,0
4.38E-05,0.00117,34.75349121,1.72E-05,0.0009781,13,0
3.44E-05,1.40E-05,7.386328125,7.26E-05,1.37E-05,1,0
6.09E-05,0.002223,71.64780273,1.80E-05,0.0002015,33,0
4.84E-05,0.001242,34.98237305,1.68E-05,0.0002881,17,0
8.59E-05,0.0024671,130.15271,2.30E-05,0.0003484,52,0
3.44E-05,2.17E-05,8.114697266,6.12E-05,1.87E-05,1,0
0.000867188,0.0096508,15785.84822,0.000127898,0.0032215,443,0
4.69E-05,0.0021749,40.13920898,1.36E-05,0.0014254,9,0
8.91E-05,0.0032116,183.377002,2.39E-05,0.0008939,73,0
3.28E-05,1.00E-07,6.195605469,0.000787118,1.00E-07,1,0
3.91E-05,0.0003943,7.095483398,1.34E-05,3.00E-07,1,0
0.0025125,0.0105455,93742.3123,0.000298148,0.0022745,494,0
7.50E-05,0.0026414,123.3671143,2.16E-05,1.44E-05,44,0
3.59E-05,3.00E-07,5.761791992,0.000438241,2.00E-07,0,0
6.56E-05,0.0017788,67.62124023,1.95E-05,0.0001372,26,0
3.75E-05,0.0007582,13.74526367,1.35E-05,2.00E-07,3,0
6.41E-05,0.0030245,79.49387207,1.62E-05,0.0002291,46,0
3.44E-05,9.40E-06,8.030078125,9.24E-05,9.30E-06,1,0
7.81E-05,0.0021272,70.45744629,1.82E-05,0.0004997,55,0
5.63E-05,0.0015878,45.28171387,1.69E-05,0.0001648,25,0
5.47E-05,0.0012154,36.3190918,1.73E-05,0.0001729,18,0
3.28E-05,2.00E-07,6.331738281,0.000562657,1.00E-07,0,0
3.28E-05,1.00E-07,7.854614258,0.000886262,1.00E-07,1,0
5.63E-05,0.0015045,31.13679199,1.44E-05,0.0003853,14,0
0.0001375,0.0033762,370.164502,3.31E-05,0.0016646,137,0
3.44E-05,1.80E-06,6.807250977,0.000194468,1.00E-07,1,0
0.00018125,0.0032123,347.7872803,3.29E-05,0.0003044,88,0
0.001067188,0.0061862,22126.15964,0.000189123,0.0002724,258,0
3.28E-05,1.00E-07,3.104882812,0.00055722,1.00E-07,1,0
0.000178125,0.0027289,409.1815674,3.87E-05,0.0002039,96,0
3.59E-05,2.90E-06,8.333154297,0.000169513,2.60E-06,0,0
4.38E-05,0.0006371,18.40300293,1.70E-05,0.0002342,5,0
8.91E-05,0.0047441,199.3582275,2.05E-05,0.0016881,93,0
7.81E-05,0.0041614,149.7512451,1.90E-05,0.0015093,94,0
0.00045625,0.0046659,2422.255493,7.20E-05,0.0003742,250,0
0.000126563,0.0031717,277.8539307,2.96E-05,0.0005144,102,0
0.000153125,0.0031862,404.3423584,3.56E-05,0.0004154,119,0
4.22E-05,0.0017096,35.18217773,1.43E-05,0.0011974,8,0
0.000145313,0.0025364,324.0884033,3.57E-05,0.0005318,107,0
4.22E-05,0.000861,19.80270996,1.52E-05,0.0003467,7,0
0.000159375,0.0031892,444.2422363,3.73E-05,0.0005405,119,0
9.06E-05,0.0025279,137.0647705,2.33E-05,0.0005266,72,0
0.00010625,0.002738,176.3472656,2.54E-05,0.0005251,81,0
3.44E-05,0.0004493,9.294702148,1.44E-05,0.0004492,1,0
0.000114063,0.0025532,154.22229,2.46E-05,0.0004675,72,0
3.44E-05,3.00E-07,6.670361328,0.000471532,1.00E-07,1,0
3.28E-05,1.00E-07,2.830029297,0.000531978,1.00E-07,0,0
3.28E-05,1.00E-07,2.89387207,0.000537948,1.00E-07,1,0
3.28E-05,1.00E-07,2.951074219,0.000543242,1.00E-07,0,0
0.0003875,0.0048754,1926.918066,6.29E-05,0.0002502,144,0
3.91E-05,6.00E-07,6.170458984,0.000320686,3.00E-07,0,0
3.28E-05,1.00E-07,2.942602539,0.000542454,1.00E-07,0,0
3.44E-05,2.00E-07,3.373950195,0.000410726,1.00E-07,1,0
3.28E-05,1.00E-07,3.184814453,0.000564337,1.00E-07,0,0
0.000196875,0.0035912,652.6126709,4.26E-05,0.0005411,125,0
3.59E-05,4.00E-07,3.72253418,0.00030506,2.00E-07,1,0
4.84E-05,0.0008267,26.45908203,1.79E-05,0.0001272,12,0
3.28E-05,1.00E-07,3.017480469,0.000549315,1.00E-07,0,0
0.000542188,0.000114,146.5887207,0.000113398,7.60E-06,40,0
3.75E-05,0.000199,10.62919922,2.31E-05,0.0001979,2,0
0.000242188,0.0039615,914.9302002,4.81E-05,0.0004722,146,0
4.84E-05,0.0014642,30.24929199,1.44E-05,0.0002519,7,0
3.28E-05,1.00E-07,3.30690918,0.000575058,1.00E-07,0,0
5.00E-05,1.30E-06,3.203100586,0.000156969,1.00E-06,1,0
5.16E-05,1.50E-06,3.913769531,0.000161526,3.00E-07,1,0
0.000129688,1.91E-05,6.734863281,5.94E-05,6.30E-06,5,0
3.59E-05,0.0005068,11.67729492,1.52E-05,9.60E-05,2,0
7.66E-05,0.0012708,47.61994629,1.94E-05,0.0004237,16,0
4.38E-05,0.0009463,25.8642334,1.65E-05,1.35E-05,6,0
3.28E-05,1.00E-07,3.057373047,0.00055294,1.00E-07,0,0
4.38E-05,0.000806,24.86677246,1.76E-05,1.62E-05,8,0
3.28E-05,1.00E-07,3.255834961,0.000570604,1.00E-07,1,0
5.31E-05,0.0012488,31.43522949,1.59E-05,0.0004164,12,0
7.66E-05,0.001741,69.37006836,2.00E-05,0.0004312,23,0
3.44E-05,2.00E-07,3.334863281,0.00040834,1.00E-07,0,0
3.91E-05,0.0006024,13.38164063,1.49E-05,3.00E-07,2,0
0.00019375,8.78E-05,25.2842041,5.37E-05,2.50E-05,29,0
0.000120313,0.0025889,208.7709961,2.84E-05,0.0002826,64,0
0.0001125,0.0023957,158.0689941,2.57E-05,0.0002007,59,0
0.000126563,0.0023565,179.1357666,2.76E-05,5.14E-05,108,0
4.69E-05,0.0004041,12.01943359,1.72E-05,0.0004027,1,0
8.44E-05,0.0009583,34.57905273,1.90E-05,0.0003622,17,0
3.59E-05,0.0007858,17.88686523,1.51E-05,0.0005917,3,0
3.59E-05,4.40E-06,11.69665527,0.000163041,1.00E-07,0,0
4.69E-05,0.0034298,69.3447998,1.42E-05,0.0009243,15,0
3.59E-05,0.0004666,18.71826172,2.00E-05,1.79E-05,2,0
3.28E-05,1.00E-07,3.36105957,0.000579748,1.00E-07,0,0
3.44E-05,2.00E-07,3.277099609,0.000404787,1.00E-07,0,1
0.000103125,0.0023133,110.4313965,2.19E-05,0.0003474,81,1
4.22E-05,0.001077,25.84816895,1.55E-05,2.05E-05,5,1
3.44E-05,2.00E-07,3.11262207,0.000394496,1.00E-07,0,1
3.28E-05,1.00E-07,3.065649414,0.000553687,1.00E-07,1,1
0.000129688,0.0029667,203.1901123,2.62E-05,0.0003342,85,1
0.00013125,0.0026152,219.7052979,2.90E-05,0.0008524,91,1
0.000164063,0.004282,416.7180908,3.12E-05,0.0001154,109,1
5.31E-05,0.0011216,35.58876953,1.78E-05,0.0004228,13,1
0.000117188,0.0027189,185.003418,2.61E-05,0.0005735,83,1
6.25E-05,0.0019812,53.01479492,1.64E-05,0.0004259,24,1
3.28E-05,1.00E-07,3.256005859,0.000570614,1.00E-07,0,1
0.000176563,0.0031792,462.4800537,3.81E-05,0.0004733,132,1
7.03E-05,0.0015496,60.79873047,1.98E-05,0.0002584,29,1
7.66E-05,0.0015784,54.43466797,1.86E-05,0.0005971,34,1
8.91E-05,0.0018552,92.18498535,2.23E-05,0.0001388,44,1
4.53E-05,0.0010521,18.97658691,1.34E-05,0.0001129,3,1
8.28E-05,0.0016212,57.38508301,1.88E-05,0.0002926,26,1
0.00025,0.0044254,1051.45376,4.87E-05,0.0005858,149,1
0.00021875,0.004628,924.6023926,4.47E-05,0.0002883,142,1
0.000101563,0.0029276,160.872998,2.34E-05,0.0001361,66,1
0.000164063,0.0033723,457.7633301,3.68E-05,0.0004247,113,1
9.53E-05,0.0024049,135.3214844,2.37E-05,0.0005708,58,1
0.000190625,0.0037859,587.2460938,3.94E-05,0.0002529,120,1
8.28E-05,0.0020209,89.85847168,2.11E-05,0.0004643,61,1
3.75E-05,0.0007531,19.3190918,1.60E-05,0.000295,7,1
0.000239063,0.0046028,934.7295898,4.51E-05,0.0004858,148,1
6.88E-05,0.0019709,82.9223877,2.05E-05,0.0003076,46,1
0.00018125,0.0037037,442.5053711,3.46E-05,0.0006455,120,1
4.53E-05,0.0007946,25.94604492,1.81E-05,0.0002012,9,1
3.28E-05,1.00E-07,3.144458008,0.000560753,1.00E-07,0,1
0.000103125,0.0029084,105.3564209,1.90E-05,0.0005905,51,1
7.03E-05,0.0013057,39.04873047,1.73E-05,0.0005328,17,1
0.000176563,0.0037566,408.7593506,3.30E-05,0.0004329,117,1
6.41E-05,0.0018917,55.50876465,1.71E-05,0.0004105,25,1
8.13E-05,0.0023514,124.7618408,2.30E-05,0.0008383,66,1
7.34E-05,0.0019871,71.13913574,1.89E-05,0.0003361,38,1
0.000234375,0.0047905,866.9263916,4.25E-05,0.0005842,125,1
0.000128125,0.0038492,250.399292,2.55E-05,0.0004737,89,1
0.000154688,0.0040898,425.4839844,3.23E-05,0.0003736,113,1
0.000301563,0.0043064,721.3035156,4.09E-05,0.0004365,118,1
7.50E-05,0.0020834,85.22346191,2.02E-05,0.0004468,38,1
9.69E-05,0.0025189,158.2638672,2.51E-05,0.0002245,63,1
3.44E-05,2.52E-05,8.769458008,5.90E-05,2.00E-07,0,1
0.000110938,0.0025297,148.6762207,2.42E-05,0.0003429,89,1
0.000325,0.0061205,1428.229883,4.83E-05,0.0021462,175,1
0.000164063,0.00316,333.094458,3.25E-05,0.0004492,106,1
4.69E-05,7.31E-05,7.030761719,3.10E-05,7.26E-05,0,1
3.28E-05,4.30E-05,8.796875,4.52E-05,1.00E-07,1,1
9.84E-05,0.0021853,127.793042,2.42E-05,0.0002246,50,1
0.0002125,0.0040386,447.2637695,3.33E-05,0.0002357,116,1
0.000104688,0.0022417,96.8722168,2.08E-05,0.0004308,55,1
0.000229688,0.0040766,649.4949951,3.99E-05,0.0003963,122,1
3.28E-05,1.00E-07,2.95324707,0.000543437,1.00E-07,0,1
0.000395313,0.0063495,2925.69165,6.79E-05,0.001883,219,1
3.44E-05,3.00E-07,6.461425781,0.000464087,1.00E-07,1,1
0.000232813,0.0041567,854.3211182,4.53E-05,0.0004616,126,1
3.44E-05,2.00E-07,3.006176758,0.000387697,1.00E-07,0,1
7.19E-05,0.0021926,63.38251953,1.70E-05,0.0001504,30,1
3.44E-05,1.00E-07,3.138671875,0.000560241,1.00E-07,0,1
0.000421875,0.0047549,1673.575562,5.93E-05,0.0003896,163,1
6.25E-05,0.0018566,56.75070801,1.75E-05,0.0003801,28,1
3.91E-05,0.0006997,17.56691895,1.58E-05,0.0002988,3,1
0.000242188,0.0052015,1081.552637,4.56E-05,0.0004044,144,1
8.28E-05,0.0022871,101.9038818,2.11E-05,0.0003891,57,1
8.59E-05,0.0028904,138.3520508,2.19E-05,0.0002514,69,1
0.000110938,0.0026925,179.075415,2.58E-05,0.0004853,78,1
0.000198438,0.0045036,773.948999,4.15E-05,0.0010368,149,1
0.000157813,0.0029162,241.5626465,2.88E-05,0.0002953,87,1
